Problem:    donMario_II
   562 promo4[15,6]               -2            -2               
   563 promo4[15,7]               -1            -2               
   564 cobertura90porciento[1]
                                   9           8.1               
   565 cobertura90porciento[2]
                                   7           6.3               
   566 cobertura90porciento[3]
                                  11          10.8               
   567 cobertura90porciento[4]
                                   9           8.1               
   568 cobertura90porciento[5]
                                   8           7.2               
   569 cobertura90porciento[6]
                                   9           8.1               
   570 cobertura90porciento[7]
                                   8           7.2               
   571 variableEesUnidExtra[1]
                                  -4            -4             = 
   572 variableEesUnidExtra[2]
                                  -4            -4             = 
   573 variableEesUnidExtra[3]
                                  -4            -4             = 
   574 variableEesUnidExtra[4]
                                  -4            -4             = 
   575 variableEesUnidExtra[5]
                                  -4            -4             = 
   576 variableEesUnidExtra[6]
                                  -4            -4             = 
   577 variableEesUnidExtra[7]
                                  -4            -4             = 
   578 noSePagaFleteXmenorW[1]
                               -8991                           4 
   579 noSePagaFleteXmenorW[2]
                               -8993                           4 
   580 noSePagaFleteXmenorW[3]
                               -8989                           4 
   581 noSePagaFleteXmenorW[4]
                               -8991                           4 
   582 noSePagaFleteXmenorW[5]
                               -8992                           4 
   583 noSePagaFleteXmenorW[6]
                               -8991                           4 
   584 noSePagaFleteXmenorW[7]
                               -8992                           4 
   585 siSePagaFleteXmayorW[1]
                               -8991         -8995               
   586 siSePagaFleteXmayorW[2]
                               -8993         -8995               
   587 siSePagaFleteXmayorW[3]
                               -8989         -8995               
   588 siSePagaFleteXmayorW[4]
                               -8991         -8995               
   589 siSePagaFleteXmayorW[5]
                               -8992         -8995               
   590 siSePagaFleteXmayorW[6]
                               -8991         -8995               
   591 siSePagaFleteXmayorW[7]
                               -8992         -8995               
   592 naturalidadUnidExtra[1]
                                   5            -0               
   593 naturalidadUnidExtra[2]
                                   3            -0               
   594 naturalidadUnidExtra[3]
                                   7            -0               
   595 naturalidadUnidExtra[4]
                                   5            -0               
   596 naturalidadUnidExtra[5]
                                   4            -0               
   597 naturalidadUnidExtra[6]
                                   5            -0               
   598 naturalidadUnidExtra[7]
                                   4            -0               

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 h[1,1]       *              1             0             1 
     2 h[2,1]       *              0             0             1 
     3 h[3,1]       *              1             0             1 
     4 h[4,1]       *              1             0             1 
     5 h[5,1]       *              0             0             1 
     6 h[6,1]       *              1             0             1 
     7 h[7,1]       *              0             0             1 
     8 h[8,1]       *              1             0             1 
     9 h[9,1]       *              0             0             1 
    10 h[10,1]      *              1             0             1 
    11 h[11,1]      *              1             0             1 
    12 h[12,1]      *              0             0             1 
    13 h[13,1]      *              1             0             1 
    14 h[14,1]      *              1             0             1 
    15 h[15,1]      *              0             0             1 
    16 h[1,2]       *              0             0             1 
    17 h[2,2]       *              1             0             1 
    18 h[3,2]       *              0             0             1 
    19 h[4,2]       *              0             0             1 
    20 h[5,2]       *              1             0             1 
    21 h[6,2]       *              0             0             1 
    22 h[7,2]       *              0             0             1 
    23 h[8,2]       *              1             0             1 
    24 h[9,2]       *              1             0             1 
    25 h[10,2]      *              0             0             1 
    26 h[11,2]      *              0             0             1 
    27 h[12,2]      *              1             0             1 
    28 h[13,2]      *              1             0             1 
    29 h[14,2]      *              0             0             1 
    30 h[15,2]      *              1             0             1 
    31 h[1,3]       *              1             0             1 
    32 h[2,3]       *              0             0             1 
    33 h[3,3]       *              1             0             1 
    34 h[4,3]       *              1             0             1 
    35 h[5,3]       *              1             0             1 
    36 h[6,3]       *              1             0             1 
    37 h[7,3]       *              0             0             1 
    38 h[8,3]       *              1             0             1 
    39 h[9,3]       *              0             0             1 
    40 h[10,3]      *              1             0             1 
    41 h[11,3]      *              1             0             1 
    42 h[12,3]      *              1             0             1 
    43 h[13,3]      *              0             0             1 
    44 h[14,3]      *              1             0             1 
    45 h[15,3]      *              1             0             1 
    46 h[1,4]       *              0             0             1 
    47 h[2,4]       *              1             0             1 
    48 h[3,4]       *              0             0             1 
    49 h[4,4]       *              1             0             1 
    50 h[5,4]       *              1             0             1 
    51 h[6,4]       *              1             0             1 
    52 h[7,4]       *              1             0             1 
    53 h[8,4]       *              0             0             1 
    54 h[9,4]       *              0             0             1 
    55 h[10,4]      *              1             0             1 
    56 h[11,4]      *              1             0             1 
    57 h[12,4]      *              1             0             1 
    58 h[13,4]      *              0             0             1 
    59 h[14,4]      *              0             0             1 
    60 h[15,4]      *              0             0             1 
    61 h[1,5]       *              0             0             1 
    62 h[2,5]       *              0             0             1 
    63 h[3,5]       *              1             0             1 
    64 h[4,5]       *              0             0             1 
    65 h[5,5]       *              0             0             1 
    66 h[6,5]       *              0             0             1 
    67 h[7,5]       *              1             0             1 
    68 h[8,5]       *              0             0             1 
    69 h[9,5]       *              1             0             1 
    70 h[10,5]      *              0             0             1 
    71 h[11,5]      *              0             0             1 
    72 h[12,5]      *              0             0             1 
    73 h[13,5]      *              1             0             1 
    74 h[14,5]      *              1             0             1 
    75 h[15,5]      *              1             0             1 
    76 h[1,6]       *              0             0             1 
    77 h[2,6]       *              1             0             1 
    78 h[3,6]       *              0             0             1 
    79 h[4,6]       *              1             0             1 
    80 h[5,6]       *              0             0             1 
    81 h[6,6]       *              1             0             1 
    82 h[7,6]       *              0             0             1 
    83 h[8,6]       *              1             0             1 
    84 h[9,6]       *              0             0             1 
    85 h[10,6]      *              1             0             1 
    86 h[11,6]      *              1             0             1 
    87 h[12,6]      *              1             0             1 
    88 h[13,6]      *              1             0             1 
    89 h[14,6]      *              1             0             1 
    90 h[15,6]      *              0             0             1 
    91 h[1,7]       *              1             0             1 
    92 h[2,7]       *              1             0             1 
    93 h[3,7]       *              1             0             1 
    94 h[4,7]       *              1             0             1 
    95 h[5,7]       *              1             0             1 
    96 h[6,7]       *              0             0             1 
    97 h[7,7]       *              0             0             1 
    98 h[8,7]       *              0             0             1 
    99 h[9,7]       *              1             0             1 
   100 h[10,7]      *              1             0             1 
   101 h[11,7]      *              0             0             1 
   102 h[12,7]      *              0             0             1 
   103 h[13,7]      *              0             0             1 
   104 h[14,7]      *              0             0             1 
   105 h[15,7]      *              1             0             1 
   106 y[1,1]       *              0             0             1 
   107 y[2,1]       *              0             0             1 
   108 y[3,1]       *              0             0             1 
   109 y[4,1]       *              0             0             1 
   110 y[5,1]       *              0             0             1 
   111 y[6,1]       *              0             0             1 
   112 y[7,1]       *              0             0             1 
   113 y[8,1]       *              0             0             1 
   114 y[9,1]       *              0             0             1 
   115 y[10,1]      *              0             0             1 
   116 y[11,1]      *              0             0             1 
   117 y[12,1]      *              0             0             1 
   118 y[13,1]      *              0             0             1 
   119 y[14,1]      *              0             0             1 
   120 y[15,1]      *              0             0             1 
   121 y[1,2]       *              0             0             1 
   122 y[2,2]       *              0             0             1 
   123 y[3,2]       *              0             0             1 
   124 y[4,2]       *              0             0             1 
   125 y[5,2]       *              0             0             1 
   126 y[6,2]       *              0             0             1 
   127 y[7,2]       *              0             0             1 
   128 y[8,2]       *              0             0             1 
   129 y[9,2]       *              0             0             1 
   130 y[10,2]      *              0             0             1 
   131 y[11,2]      *              0             0             1 
   132 y[12,2]      *              0             0             1 
   133 y[13,2]      *              0             0             1 
   134 y[14,2]      *              0             0             1 
   135 y[15,2]      *              0             0             1 
   136 y[1,3]       *              0             0             1 
   137 y[2,3]       *              0             0             1 
   138 y[3,3]       *              0             0             1 
   139 y[4,3]       *              0             0             1 
   140 y[5,3]       *              0             0             1 
   141 y[6,3]       *              0             0             1 
   142 y[7,3]       *              0             0             1 
   143 y[8,3]       *              0             0             1 
   144 y[9,3]       *              0             0             1 
   145 y[10,3]      *              0             0             1 
   146 y[11,3]      *              0             0             1 
   147 y[12,3]      *              0             0             1 
   148 y[13,3]      *              0             0             1 
   149 y[14,3]      *              0             0             1 
   150 y[15,3]      *              0             0             1 
   151 y[1,4]       *              0             0             1 
   152 y[2,4]       *              0             0             1 
   153 y[3,4]       *              0             0             1 
   154 y[4,4]       *              0             0             1 
   155 y[5,4]       *              0             0             1 
   156 y[6,4]       *              0             0             1 
   157 y[7,4]       *              0             0             1 
   158 y[8,4]       *              1             0             1 
   159 y[9,4]       *              0             0             1 
   160 y[10,4]      *              0             0             1 
   161 y[11,4]      *              0             0             1 
   162 y[12,4]      *              0             0             1 
   163 y[13,4]      *              0             0             1 
   164 y[14,4]      *              0             0             1 
   165 y[15,4]      *              0             0             1 
   166 y[1,5]       *              0             0             1 
   167 y[2,5]       *              0             0             1 
   168 y[3,5]       *              0             0             1 
   169 y[4,5]       *              0             0             1 
   170 y[5,5]       *              1             0             1 
   171 y[6,5]       *              0             0             1 
   172 y[7,5]       *              0             0             1 
   173 y[8,5]       *              0             0             1 
   174 y[9,5]       *              0             0             1 
   175 y[10,5]      *              0             0             1 
   176 y[11,5]      *              0             0             1 
   177 y[12,5]      *              1             0             1 
   178 y[13,5]      *              0             0             1 
   179 y[14,5]      *              0             0             1 
   180 y[15,5]      *              0             0             1 
   181 y[1,6]       *              0             0             1 
   182 y[2,6]       *              0             0             1 
   183 y[3,6]       *              0             0             1 
   184 y[4,6]       *              0             0             1 
   185 y[5,6]       *              0             0             1 
   186 y[6,6]       *              0             0             1 
   187 y[7,6]       *              0             0             1 
   188 y[8,6]       *              0             0             1 
   189 y[9,6]       *              0             0             1 
   190 y[10,6]      *              0             0             1 
   191 y[11,6]      *              0             0             1 
   192 y[12,6]      *              0             0             1 
   193 y[13,6]      *              0             0             1 
   194 y[14,6]      *              0             0             1 
   195 y[15,6]      *              0             0             1 
   196 y[1,7]       *              0             0             1 
   197 y[2,7]       *              0             0             1 
   198 y[3,7]       *              0             0             1 
   199 y[4,7]       *              0             0             1 
   200 y[5,7]       *              0             0             1 
   201 y[6,7]       *              0             0             1 
   202 y[7,7]       *              0             0             1 
   203 y[8,7]       *              0             0             1 
   204 y[9,7]       *              0             0             1 
   205 y[10,7]      *              0             0             1 
   206 y[11,7]      *              0             0             1 
   207 y[12,7]      *              0             0             1 
   208 y[13,7]      *              0             0             1 
   209 y[14,7]      *              0             0             1 
   210 y[15,7]      *              0             0             1 
   211 A[1]         *              1             0             1 
   212 A[2]         *              1             0             1 
   213 A[3]         *              1             0             1 
   214 A[4]         *              1             0             1 
   215 A[5]         *              1             0             1 
   216 A[6]         *              1             0             1 
   217 A[7]         *              1             0             1 
   218 E[1]                        5             0               
   219 E[2]                        3             0               
   220 E[3]                        7             0               
   221 E[4]                        5             0               
   222 E[5]                        4             0               
   223 E[6]                        5             0               
   224 E[7]                        4             0               
   225 X[1]         *              9             0               
   226 X[2]         *              7             0               
   227 X[3]         *             11             0               
   228 X[4]         *              9             0               
   229 X[5]         *              8             0               
   230 X[6]         *              9             0               
   231 X[7]         *              8             0               

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
